n,bubbleSort,heapSort,countingSort,shellSort
1,0.0529336,0.000635628,6.1081e-05,0.000553079
2,0.224056,0.00132266,0.000109426,0.00132807
3,0.533533,0.00218427,0.000200586,0.00217587
4,0.986031,0.00311044,0.00022683,0.00317378
5,1.55807,0.00394419,0.000345833,0.00425361
6,2.26875,0.0048048,0.000370425,0.00491984
7,3.11267,0.00582079,0.000523672,0.00565518
8,4.06737,0.00675094,0.000576505,0.00739287
9,5.26255,0.00797642,0.000534363,0.00776179
10,6.69684,0.00866445,0.000576059,0.00861451
11,8.1088,0.0097189,0.000651774,0.00927241
12,9.66241,0.0107986,0.00071839,0.0109567
13,11.2594,0.0117874,0.000745668,0.0119028
14,13.2177,0.0127872,0.000808117,0.0125529
15,15.3678,0.0139729,0.000871742,0.0133175
16,17.3122,0.0140438,0.000868976,0.0150097
17,19.383,0.0168891,0.000945667,0.0161864
18,21.3905,0.0171669,0.00123094,0.0170135
19,23.8078,0.0176967,0.00109759,0.0183328
20,27.4305,0.0184986,0.00110414,0.0190268
