n,quickSort,heapSort,mergeSort
1,0.0355404,0.0146589,0.00704376
2,0.0464603,0.0304138,0.0141787
3,0.261173,0.0480866,0.0221174
4,0.802755,0.0659015,0.0295454
5,0.867238,0.0836584,0.0375896
6,0.292196,0.107925,0.0474478
7,1.7094,0.12167,0.0530572
8,3.13371,0.14,0.0615856
9,2.18857,0.157789,0.0694065
10,10.0058,0.179743,0.0758496
11,8.70458,0.198477,0.0850369
12,6.47619,0.217261,0.0938672
13,1.06148,0.243454,0.101855
14,5.61718,0.258205,0.110173
15,7.27484,0.280856,0.11753
16,3.62149,0.2977,0.12615
17,5.10762,0.317462,0.133195
18,2.29297,0.348131,0.142784
19,1.50429,0.359027,0.149502
20,4.85029,0.376521,0.15701
